Unnamed: 0,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
14,b_read_on_1241d9bb_0015,synthetic-google-hashcode,100000,100,633,88.3,0.0,785.11,8.52,1.15,0.0
15,b_read_on_20e75368_0016,synthetic-google-hashcode,100000,125,1036,100.0,0.0,936.9,12.45,1.08,0.0
16,b_read_on_a8904a3f_0017,synthetic-google-hashcode,100000,84,1081,100.0,0.0,896.39,11.81,1.11,0.0
17,b_read_on_825fb5f6_0018,synthetic-google-hashcode,75939,76,1155,91.08,0.0,1119.32,7.92,1.08,0.0
18,b_read_on_43c0c8f4_0019,synthetic-google-hashcode,100000,64,675,100.0,0.0,1000.0,11.81,1.18,0.0
19,b_read_on_7f3e8bfa_0020,synthetic-google-hashcode,60998,109,1178,64.14,0.0,1122.9,8.46,1.03,0.0
0,b_read_on_d746f9bb_0001,synthetic-google-hashcode,77569,100,1362,132.45,0.0,1088.4,14.57,1.47,0.0
1,b_read_on_d79a6801_0002,synthetic-google-hashcode,92944,68,1394,112.16,0.0,1000.0,10.31,1.34,0.0
2,b_read_on_cd5c98ac_0003,synthetic-google-hashcode,100000,149,1291,123.48,0.0,1000.0,7.32,1.1,0.0
3,b_read_on_4ba8d52e_0004,synthetic-google-hashcode,53592,100,1199,100.0,0.0,1354.44,12.7,1.16,0.0
4,b_read_on_787a521a_0005,synthetic-google-hashcode,73774,76,1000,147.7,0.0,1248.98,11.81,1.46,0.0
5,b_read_on_71fa7400_0006,synthetic-google-hashcode,93568,76,1395,100.0,0.0,1158.87,9.18,1.0,0.0
6,b_read_on_0be18e64_0007,synthetic-google-hashcode,73495,55,1000,144.27,0.0,1205.22,9.18,1.11,0.0
7,b_read_on_ddca02e5_0008,synthetic-google-hashcode,70383,73,1053,58.29,0.0,1011.76,9.27,1.08,0.0
8,b_read_on_d5edd370_0009,synthetic-google-hashcode,71737,100,1000,100.0,0.0,1000.0,16.32,1.1,0.0
9,b_read_on_a57f1e19_0010,synthetic-google-hashcode,61923,109,1453,69.69,0.0,1179.34,14.21,1.14,0.0
10,b_read_on_7ffc5e97_0011,synthetic-google-hashcode,76000,150,1094,92.28,0.0,1211.9,15.36,1.0,0.0
11,b_read_on_4de8c33f_0012,synthetic-google-hashcode,100000,100,1054,54.79,0.0,1379.32,11.81,1.0,0.0
12,b_read_on_51014789_0013,synthetic-google-hashcode,55791,128,784,100.0,0.0,1000.0,12.06,1.25,0.0
13,b_read_on_14a9567a_0014,synthetic-google-hashcode,61934,79,1257,140.15,0.0,831.98,12.68,1.0,0.0
14,b_read_on_be17d1b3_0015,synthetic-google-hashcode,53885,73,1000,145.43,0.0,1264.61,14.21,1.05,0.0
15,b_read_on_314ff564_0016,synthetic-google-hashcode,68852,118,1029,66.5,0.0,1000.0,7.2,1.04,0.0
16,b_read_on_5a1d2725_0017,synthetic-google-hashcode,52764,84,857,68.53,0.0,1426.07,6.93,1.4,0.0
17,b_read_on_0b40464f_0018,synthetic-google-hashcode,99699,53,1010,99.69,0.0,735.8,17.36,1.31,0.0
18,b_read_on_2b0108e4_0019,synthetic-google-hashcode,66482,143,1205,96.54,0.0,992.56,11.81,1.03,0.0
19,b_read_on_1a741b75_0020,synthetic-google-hashcode,100000,149,1000,96.79,0.0,1000.0,14.65,1.13,0.0
0,b_read_on_8277eb4d_0001,synthetic-google-hashcode,100000,86,833,154.29,0.0,1156.49,9.03,1.54,0.0
1,b_read_on_e06398bf_0002,synthetic-google-hashcode,59933,110,1000,100.0,0.0,1558.11,8.11,1.0,0.0
2,b_read_on_9a9e399f_0003,synthetic-google-hashcode,47713,150,1423,100.0,0.0,1000.0,11.81,1.46,0.0
3,b_read_on_2095b80e_0004,synthetic-google-hashcode,60352,72,949,100.0,0.0,1507.99,11.81,1.36,0.0
4,b_read_on_91c80873_0005,synthetic-google-hashcode,96770,88,415,96.1,0.0,1220.76,11.81,1.36,0.0
5,b_read_on_49808f28_0006,synthetic-google-hashcode,75766,155,684,124.04,0.0,1000.0,6.95,1.5,0.0
6,b_read_on_3e6c1900_0007,synthetic-google-hashcode,83406,150,770,131.99,0.0,814.93,11.8,1.13,0.0
7,b_read_on_93da19b5_0008,synthetic-google-hashcode,87737,93,1400,133.27,0.0,707.75,5.03,1.0,0.0
8,b_read_on_e58661f7_0009,synthetic-google-hashcode,60824,65,1000,100.0,0.0,1177.07,13.77,1.0,0.0
9,b_read_on_5eb10bc9_0010,synthetic-google-hashcode,46118,160,427,135.17,0.0,701.31,9.18,1.52,0.0
10,b_read_on_2398c85e_0011,synthetic-google-hashcode,54977,43,625,126.34,0.0,1192.32,11.81,1.33,0.0
11,b_read_on_29bc0616_0012,synthetic-google-hashcode,89790,79,1008,141.27,0.0,1558.74,16.01,1.0,0.0
12,b_read_on_33c85b0f_0013,synthetic-google-hashcode,45899,94,832,100.0,0.0,1000.0,9.27,1.04,0.0
13,b_read_on_10a96a44_0014,synthetic-google-hashcode,74530,71,1172,85.54,0.0,1303.37,17.39,1.16,0.0
14,b_read_on_6cb3c0e4_0015,synthetic-google-hashcode,43872,66,1000,62.64,0.0,1074.62,8.01,1.06,0.0
15,b_read_on_bfa0ed87_0016,synthetic-google-hashcode,82921,81,1153,157.37,0.0,602.46,11.81,1.0,0.0
16,b_read_on_460d725f_0017,synthetic-google-hashcode,53652,100,1135,45.44,0.0,511.31,6.69,1.51,0.0
17,b_read_on_eb8e0422_0018,synthetic-google-hashcode,100000,123,1499,100.0,0.0,792.74,7.2,1.24,0.0
18,b_read_on_2eda8649_0019,synthetic-google-hashcode,41998,40,1066,76.3,0.0,1371.04,15.39,1.41,0.0
19,b_read_on_8c9097b5_0020,synthetic-google-hashcode,91743,100,1000,65.73,0.0,1282.31,15.46,1.29,0.0
0,b_read_on_ac1b3e97_0001,synthetic-google-hashcode,77610,97,635,32.6,0.0,1037.84,4.63,1.28,0.0
1,b_read_on_544615fe_0002,synthetic-google-hashcode,48769,135,778,100.0,0.0,698.41,18.9,1.0,0.0
2,b_read_on_d25cc31e_0003,synthetic-google-hashcode,82462,68,815,96.6,0.0,1000.0,13.26,1.58,0.0
3,b_read_on_9d405987_0004,synthetic-google-hashcode,100000,50,1000,100.0,0.0,869.64,7.6,1.25,0.0
4,b_read_on_96a635eb_0005,synthetic-google-hashcode,86728,94,1247,52.11,0.0,712.4,9.63,1.48,0.0
5,b_read_on_1888191c_0006,synthetic-google-hashcode,60741,168,1000,91.45,0.0,1443.66,19.0,1.52,0.0
6,b_read_on_3aa015b4_0007,synthetic-google-hashcode,99027,139,1615,127.66,0.0,1000.0,19.72,1.09,0.0
7,b_read_on_96495bb4_0008,synthetic-google-hashcode,82471,58,338,150.66,0.0,1000.0,17.54,1.62,0.0
8,b_read_on_21603b50_0009,synthetic-google-hashcode,95990,107,1278,86.14,0.0,1077.09,17.16,1.02,0.0
9,b_read_on_4b4e2870_0010,synthetic-google-hashcode,95159,100,375,123.2,0.0,1298.32,15.15,1.36,0.0
10,b_read_on_2715b696_0011,synthetic-google-hashcode,64564,49,1327,140.24,0.0,1000.0,16.38,1.09,0.0
11,b_read_on_28392677_0012,synthetic-google-hashcode,36047,130,859,139.18,0.0,978.65,12.14,1.41,0.0
12,b_read_on_ce7cdf3e_0013,synthetic-google-hashcode,53367,82,1206,38.1,0.0,572.01,4.34,1.0,0.0
13,b_read_on_a3a1f309_0014,synthetic-google-hashcode,35364,100,1631,136.13,0.0,1369.36,8.32,1.21,0.0
14,b_read_on_d579a4d1_0015,synthetic-google-hashcode,92294,124,1133,100.0,0.0,566.73,5.64,1.08,0.0
15,b_read_on_ab1a846c_0016,synthetic-google-hashcode,91711,93,408,100.0,0.0,808.67,18.01,1.09,0.0
16,b_read_on_0d8e2d14_0017,synthetic-google-hashcode,39516,131,394,50.5,0.0,700.03,7.63,1.05,0.0
17,b_read_on_17881a3b_0018,synthetic-google-hashcode,83971,93,873,40.68,0.0,511.97,9.68,1.34,0.0
18,b_read_on_4cac86db_0019,synthetic-google-hashcode,78107,106,1074,100.0,0.0,435.62,17.79,1.15,0.0
19,b_read_on_9e11c8c7_0020,synthetic-google-hashcode,70879,117,408,116.05,0.0,750.41,11.81,1.57,0.0
0,b_read_on_d54dfa9b_0001,synthetic-google-hashcode,76387,119,849,79.49,0.0,1404.08,10.19,1.0,0.0
1,b_read_on_d3d97771_0002,synthetic-google-hashcode,24327,100,585,100.0,0.0,1740.71,4.55,1.39,0.0
2,b_read_on_2c7dcb1c_0003,synthetic-google-hashcode,66183,100,1000,155.66,0.0,1459.05,11.64,1.7,0.0
3,b_read_on_2a776457_0004,synthetic-google-hashcode,60858,49,517,91.78,0.0,768.11,11.81,1.79,0.0
4,b_read_on_4abad9b0_0005,synthetic-google-hashcode,26067,100,489,97.84,0.0,1204.54,8.24,1.76,0.0
5,b_read_on_707651ca_0006,synthetic-google-hashcode,62713,52,1461,107.69,0.0,1000.0,7.4,1.1,0.0
6,b_read_on_3550399c_0007,synthetic-google-hashcode,100000,116,684,76.93,0.0,1338.93,9.31,1.0,0.0
7,b_read_on_cb9b057b_0008,synthetic-google-hashcode,41246,62,1350,87.98,0.0,210.65,11.81,1.0,0.0
8,b_read_on_7cf900db_0009,synthetic-google-hashcode,47243,100,381,162.58,0.0,1743.9,11.81,1.03,0.0
9,b_read_on_35ba0543_0010,synthetic-google-hashcode,35349,60,1134,165.76,0.0,424.88,11.81,1.0,0.0
10,b_read_on_70c0426a_0011,synthetic-google-hashcode,50571,28,1191,33.3,0.0,560.83,5.25,1.02,0.0
11,b_read_on_01638a62_0012,synthetic-google-hashcode,100000,100,1502,85.13,0.0,1368.65,8.39,1.71,0.0
12,b_read_on_a73b474f_0013,synthetic-google-hashcode,100000,100,823,100.0,0.0,798.85,4.81,1.74,0.0
13,b_read_on_a78703f4_0014,synthetic-google-hashcode,100000,161,980,175.7,0.0,1000.0,19.54,1.23,0.0
14,b_read_on_4d03adf4_0015,synthetic-google-hashcode,100000,51,1791,100.0,0.0,1624.19,16.34,1.64,0.0
15,b_read_on_b37ea448_0016,synthetic-google-hashcode,100000,56,1000,89.07,0.0,1000.0,3.8,1.71,0.0
16,b_read_on_08485978_0017,synthetic-google-hashcode,100000,165,1393,45.4,0.0,229.06,7.96,1.29,0.0
17,b_read_on_b0fd5ec5_0018,synthetic-google-hashcode,29359,23,966,72.18,0.0,1728.15,4.68,1.0,0.0
18,b_read_on_ef23755d_0019,synthetic-google-hashcode,100000,152,345,58.37,0.0,1241.38,4.49,1.08,0.0
19,b_read_on_4c5af51a_0020,synthetic-google-hashcode,78212,47,805,84.14,0.0,1000.0,14.4,1.6,0.0
0,b_read_on_76902392_0001,synthetic-google-hashcode,100000,58,1106,73.51,0.0,774.67,18.48,1.0,0.0
1,b_read_on_2ccc9bc1_0002,synthetic-google-hashcode,13190,134,1381,131.52,0.0,1535.41,11.81,1.69,0.0
2,b_read_on_dca4c814_0003,synthetic-google-hashcode,80963,188,389,161.77,0.0,1703.25,18.48,1.3,0.0
3,b_read_on_1e3fc0aa_0004,synthetic-google-hashcode,67294,64,884,181.23,0.0,957.87,11.81,1.57,0.0
4,b_read_on_106f2d8e_0005,synthetic-google-hashcode,100000,52,1520,133.33,0.0,429.76,10.2,1.73,0.0
5,b_read_on_0cd4d880_0006,synthetic-google-hashcode,59136,44,1000,100.0,0.0,1569.75,13.92,1.69,0.0
6,b_read_on_2ef313db_0007,synthetic-google-hashcode,90827,112,1472,97.71,0.0,1671.02,20.8,1.47,0.0
7,b_read_on_242f8809_0008,synthetic-google-hashcode,43500,186,764,100.0,0.0,1000.0,11.81,1.2,0.0
8,b_read_on_2330bdc9_0009,synthetic-google-hashcode,33471,100,1598,24.34,0.0,990.14,11.81,1.06,0.0
9,b_read_on_6081ac70_0010,synthetic-google-hashcode,72011,175,1000,163.74,0.0,237.06,11.81,1.85,0.0
10,b_read_on_0e9235cd_0011,synthetic-google-hashcode,31405,143,254,133.21,0.0,1000.0,18.22,1.12,0.0
11,b_read_on_d6119537_0012,synthetic-google-hashcode,100000,150,631,69.45,0.0,768.49,21.74,1.0,0.0
12,b_read_on_b4c4e1fb_0013,synthetic-google-hashcode,25318,127,1785,83.34,0.0,1337.28,11.81,1.02,0.0
13,b_read_on_8fa86354_0014,synthetic-google-hashcode,63414,65,1848,94.42,0.0,1472.4,20.83,1.41,0.0
14,b_read_on_4f7c5616_0015,synthetic-google-hashcode,55745,98,1416,185.3,0.0,111.49,1.96,1.89,0.0
15,b_read_on_76caa6c9_0016,synthetic-google-hashcode,94678,106,519,162.25,0.0,1166.67,11.81,1.0,0.0
16,b_read_on_ababfba5_0017,synthetic-google-hashcode,80489,100,411,100.0,0.0,122.95,11.81,1.48,0.0
17,b_read_on_1455b43f_0018,synthetic-google-hashcode,49823,24,1574,100.0,0.0,594.44,14.01,1.42,0.0
18,b_read_on_c2fd6c6d_0019,synthetic-google-hashcode,44367,69,634,102.59,0.0,1000.0,10.97,1.18,0.0
19,b_read_on_5f2e5735_0020,synthetic-google-hashcode,54883,80,179,64.35,0.0,1000.0,21.3,1.89,0.0
0,c_incunabula_5d493d67_0001,synthetic-google-hashcode,98192,10632,95696,280.64,28493.76,14.46,509.82,45140.09,11.2
1,c_incunabula_f389eebc_0002,synthetic-google-hashcode,100000,10113,91089,312.3,28102.39,15.87,478.87,53502.97,11.69
2,c_incunabula_85641a74_0003,synthetic-google-hashcode,91957,10334,100000,312.43,30275.82,16.16,472.96,52674.51,11.21
3,c_incunabula_d0c66b8c_0004,synthetic-google-hashcode,94637,10994,94649,324.73,27669.16,14.86,456.07,49511.38,11.41
4,c_incunabula_64ca4054_0005,synthetic-google-hashcode,98968,10588,100000,297.13,28036.39,15.03,506.08,50291.58,11.17
5,c_incunabula_bebdb32f_0006,synthetic-google-hashcode,90188,10000,100000,296.15,27541.8,15.12,528.13,53293.71,12.09
6,c_incunabula_cba1bb82_0007,synthetic-google-hashcode,93027,9846,93996,300.76,29879.09,16.44,506.08,49511.38,11.82
7,c_incunabula_ab693173_0008,synthetic-google-hashcode,99994,9248,100000,300.76,31876.19,14.67,466.68,48721.03,11.09
8,c_incunabula_3d7549da_0009,synthetic-google-hashcode,91568,10000,93458,290.04,32086.71,15.8,495.01,51856.08,10.67
9,c_incunabula_a835a6bf_0010,synthetic-google-hashcode,100000,10269,95050,323.28,29774.98,15.17,513.64,52375.01,11.86
10,c_incunabula_119d8262_0011,synthetic-google-hashcode,98648,9795,99164,300.76,32676.72,14.31,506.08,49511.38,10.97
11,c_incunabula_8c670b2f_0012,synthetic-google-hashcode,97344,10000,97697,308.92,30999.14,15.83,518.99,47689.46,12.77
12,c_incunabula_e9dd1883_0013,synthetic-google-hashcode,94009,10000,94316,318.89,29860.85,16.5,494.25,54165.22,12.85
13,c_incunabula_288de09f_0014,synthetic-google-hashcode,100000,10697,91436,300.76,30524.18,15.23,477.39,52610.29,11.03
14,c_incunabula_345d5125_0015,synthetic-google-hashcode,95613,10000,90399,300.76,27643.64,15.03,506.08,49511.38,10.98
15,c_incunabula_66fc0d36_0016,synthetic-google-hashcode,93475,10116,94769,287.46,27906.76,15.56,515.12,49511.38,11.69
16,c_incunabula_aad71dd4_0017,synthetic-google-hashcode,91662,9679,96110,289.63,32588.03,15.65,475.03,45929.98,10.98
17,c_incunabula_11a0bc6b_0018,synthetic-google-hashcode,97400,9084,98502,300.76,28625.95,13.83,551.87,49511.38,11.28
18,c_incunabula_358c772c_0019,synthetic-google-hashcode,97219,10000,99325,272.23,32522.04,15.44,506.08,54214.69,12.19
19,c_incunabula_546ada15_0020,synthetic-google-hashcode,91031,10454,100000,293.13,29879.09,16.22,556.25,49511.38,11.59
0,c_incunabula_b0c5e26c_0001,synthetic-google-hashcode,88127,5057,93229,300.76,48298.7,15.03,690.74,68446.45,11.69
1,c_incunabula_230f15fe_0002,synthetic-google-hashcode,100000,9416,87259,203.11,29879.09,15.03,643.18,71141.55,21.82
